# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1559193241.282402276992798,0.01060,0.00040,0.00078,0.00186,0.00000,0.00085,0.01450
1559193241.382129669189453,0.02173,0.00057,0.00115,0.00226,0.00042,0.00108,0.02722
1559193241.481856822967529,0.00909,0.00040,0.00036,0.00159,0.00285,0.00078,0.01508
1559193241.584374904632568,0.01178,0.00042,0.00044,0.00196,0.00487,0.00112,0.02059
1559193241.683047533035278,0.02362,0.00055,0.00094,0.00286,0.00000,0.00096,0.02894
1559193241.783403873443604,0.01333,0.00058,0.00115,0.00256,0.00012,0.00124,0.01898
1559193241.882184743881226,0.02248,0.00060,0.00214,0.00315,0.00000,0.00198,0.03036
1559193241.982000827789307,0.00690,0.00027,0.00045,0.00071,0.00254,0.00054,0.01142
1559193242.081285953521729,0.00601,0.00023,0.00141,0.00084,0.00161,0.00054,0.01065
1559193242.181531429290771,0.01851,0.00082,0.00139,0.00348,0.00000,0.00177,0.02598
1559193242.280936956405640,0.01226,0.00043,0.00108,0.00124,0.00211,0.00116,0.01828
1559193242.381105422973633,0.01246,0.00044,0.00112,0.00141,0.00212,0.00090,0.01845
1559193242.480984210968018,0.01169,0.00045,0.00151,0.00106,0.00120,0.00101,0.01692
1559193242.581044912338257,0.01072,0.00044,0.00039,0.00134,0.00133,0.00101,0.01524
1559193242.680963516235352,0.01858,0.00074,0.00072,0.00191,0.00013,0.00114,0.02323
1559193242.781294584274292,0.02965,0.00075,0.00058,0.00143,0.00420,0.00097,0.03759
1559193242.880844354629517,0.01008,0.00038,0.00053,0.00158,0.00404,0.00078,0.01739
1559193242.981076002120972,0.01834,0.00058,0.00098,0.00235,0.00028,0.00079,0.02332
1559193243.081087350845337,0.00619,0.00023,0.00100,0.00104,0.00021,0.00055,0.00924
1559193243.181059837341309,0.01090,0.00041,0.00171,0.00202,0.00000,0.00085,0.01588
1559193243.280987501144409,0.02675,0.00055,0.00083,0.00235,0.00000,0.00099,0.03148
1559193243.381076097488403,0.00924,0.00046,0.00094,0.00141,0.00296,0.00081,0.01582
1559193243.481003046035767,0.02015,0.00057,0.00160,0.00162,0.00214,0.00088,0.02696
1559193243.580913782119751,0.03045,0.00069,0.00087,0.00217,0.00148,0.00118,0.03684
1559193243.680926322937012,0.01204,0.00042,0.00074,0.00138,0.00028,0.00097,0.01581
1559193243.780897617340088,0.02325,0.00056,0.00078,0.00131,0.00445,0.00098,0.03134
1559193243.880900382995605,0.01845,0.00063,0.00399,0.00241,0.00331,0.00131,0.03009
1559193243.981083393096924,0.01452,0.00048,0.00111,0.00143,0.00001,0.00086,0.01841
1559193244.081209182739258,0.00651,0.00024,0.00051,0.00065,0.00072,0.00061,0.00924
1559193244.180999755859375,0.01121,0.00040,0.00076,0.00137,0.00263,0.00095,0.01733
1559193244.280961513519287,0.03054,0.00101,0.00135,0.00379,0.00488,0.00082,0.04239
1559193244.380768060684204,0.00774,0.00037,0.00132,0.00141,0.00234,0.00060,0.01379
1559193244.480771303176880,0.02755,0.00108,0.00229,0.00344,0.00077,0.00150,0.03662
1559193244.580696105957031,0.01334,0.00043,0.00334,0.00191,0.00055,0.00089,0.02047
1559193244.680750608444214,0.02537,0.00050,0.00132,0.00145,0.00277,0.00113,0.03255
1559193244.780805826187134,0.01191,0.00043,0.00070,0.00113,0.00073,0.00081,0.01571
1559193244.880963563919067,0.02959,0.00072,0.00089,0.00191,0.00133,0.00127,0.03571
1559193244.980770587921143,0.00891,0.00037,0.00165,0.00121,0.00000,0.00086,0.01300
1559193245.080652236938477,0.00787,0.00024,0.00030,0.00054,0.00059,0.00060,0.01014
1559193245.182903528213501,0.01785,0.00037,0.00162,0.00066,0.00384,0.00096,0.02529
1559193245.280718564987183,0.03326,0.00053,0.00227,0.00235,0.00147,0.00111,0.04099
1559193245.380751132965088,0.00899,0.00034,0.00067,0.00134,0.00156,0.00058,0.01347
1559193245.480843305587769,0.03070,0.00064,0.00057,0.00210,0.00208,0.00085,0.03693
1559193245.581676244735718,0.00839,0.00034,0.00048,0.00161,0.00019,0.00080,0.01181
1559193245.681687355041504,0.03126,0.00081,0.00180,0.00285,0.00167,0.00095,0.03936
1559193245.781196832656860,0.01039,0.00036,0.00066,0.00184,0.00005,0.00098,0.01427
1559193245.881275415420532,0.03332,0.00103,0.00196,0.00238,0.00000,0.00148,0.04017
1559193245.981153726577759,0.01241,0.00027,0.00043,0.00047,0.00102,0.00052,0.01513
1559193246.081045150756836,0.00696,0.00023,0.00097,0.00050,0.00153,0.00054,0.01073
1559193246.181196451187134,0.01610,0.00062,0.00043,0.00207,0.00000,0.00127,0.02050
1559193246.281160593032837,0.01560,0.00062,0.00215,0.00198,0.00000,0.00120,0.02156
1559193246.380977630615234,0.01763,0.00057,0.00061,0.00146,0.00607,0.00143,0.02777
1559193246.480696201324463,0.01624,0.00054,0.00275,0.00194,0.00045,0.00123,0.02316
1559193246.580815553665161,0.01504,0.00058,0.00080,0.00153,0.00291,0.00089,0.02175
1559193246.680700063705444,0.02471,0.00043,0.00137,0.00111,0.00160,0.00101,0.03023
1559193246.780697584152222,0.00818,0.00031,0.00048,0.00071,0.00062,0.00063,0.01094
1559193246.880728006362915,0.02832,0.00069,0.00274,0.00131,0.00002,0.00105,0.03413
1559193246.981435537338257,0.00764,0.00028,0.00115,0.00049,0.00184,0.00082,0.01222
1559193247.080310106277466,0.00820,0.00028,0.00118,0.00074,0.00206,0.00050,0.01295
1559193247.180259704589844,0.01568,0.00049,0.00134,0.00232,0.00250,0.00131,0.02364
1559193247.280338764190674,0.02102,0.00079,0.00185,0.00272,0.00000,0.00090,0.02728
1559193247.380449056625366,0.00768,0.00029,0.00033,0.00090,0.00119,0.00058,0.01098
1559193247.480449914932251,0.00689,0.00024,0.00084,0.00085,0.00162,0.00114,0.01158
1559193247.580612897872925,0.00810,0.00042,0.00064,0.00092,0.00004,0.00055,0.01069
1559193247.680363416671753,0.02412,0.00075,0.00237,0.00269,0.00040,0.00164,0.03197
1559193247.780383110046387,0.01752,0.00050,0.00074,0.00148,0.00250,0.00094,0.02368
1559193247.880289554595947,0.01512,0.00051,0.00092,0.00179,0.00101,0.00104,0.02039
1559193247.980219841003418,0.01459,0.00051,0.00067,0.00154,0.00002,0.00103,0.01836
1559193248.080064535140991,0.00658,0.00029,0.00049,0.00079,0.00042,0.00054,0.00911
1559193248.180197238922119,0.02612,0.00054,0.00156,0.00118,0.00107,0.00110,0.03157
1559193248.280073404312134,0.00953,0.00048,0.00079,0.00089,0.00424,0.00078,0.01669
1559193248.380298376083374,0.01333,0.00047,0.00142,0.00130,0.00128,0.00096,0.01876
1559193248.480237245559692,0.01422,0.00060,0.00138,0.00131,0.00369,0.00135,0.02254
1559193248.580171346664429,0.01408,0.00051,0.00096,0.00117,0.00549,0.00091,0.02312
1559193248.679972887039185,0.02199,0.00067,0.00077,0.00190,0.00260,0.00081,0.02874
